Name,Critic_Score,cluster
Fable II,9.0,99.0
Bastion,9.0,99.0
Mass Effect 2: Overlord,8.8,99.0
Mass Effect 2: Lair of the Shadow Broker,8.7,99.0
Mass Effect 2: Lair of the Shadow Broker,8.7,99.0
Bastion,8.5,99.0
Guardian Heroes,8.5,99.0
Mass Effect 2: Overlord,8.5,99.0
Torchlight,8.4,99.0
Torchlight,8.4,99.0
Cthulhu Saves the World,8.0,99.0
Cthulhu Saves the World,8.0,99.0
Half-Minute Hero: Super Mega Neo Climax,7.8,99.0
Gyromancer,7.7,99.0
Crimson Alliance,7.6,99.0
Fable III: Traitor's Keep Quest Pack,7.4,99.0
Mass Effect 2: Kasumi's Stolen Memory,7.2,99.0
Costume Quest: Grubbins on Ice,6.9,99.0
Costume Quest: Grubbins on Ice,6.9,99.0
Vandal Hearts: Flames of Judgment,6.9,99.0
Vandal Hearts: Flames of Judgment,6.8,99.0
Mass Effect 2: Kasumi's Stolen Memory,6.7,99.0
Too Human,6.5,99.0
Islands of Wakfu,6.1,99.0
Fable II: See the Future,6.0,99.0
Mass Effect: Bring Down The Sky,5.0,99.0
Fable III: Understone Quest Pack,4.5,99.0
Mass Effect: Pinnacle Station,4.5,99.0
Guardian Heroes,0.0,99.0
A Pimp RPG,0.0,99.0
Absolute: Blazing Infinity,0.0,99.0
Absolute: Blazing Infinity,0.0,99.0
Aphelion,0.0,99.0
Aphelion 2,0.0,99.0
Aphelion Episode One: Graves of Earth,0.0,99.0
Aphelion Episode Two: Wings of Omega,0.0,99.0
Avalis Dungeon,0.0,99.0
Avalis Dungeon 2,0.0,99.0
Avatar Adventurers Online,0.0,99.0
Avatar Fantasy RPG,0.0,99.0
Avatar Legends,0.0,99.0
Blackstone - Part One,0.0,99.0
BloodyCheckers,0.0,99.0
Bonded Realities,0.0,99.0
Breath of Death VII: The Beginning,0.0,99.0
Breath of Death VII: The Beginning,0.0,99.0
Chaos Gateway,0.0,99.0
Crescendo Symphony: Kagami no Kishi,0.0,99.0
Crisis Nuclear Holocaust,0.0,99.0
Dark Delve,0.0,99.0
Don't be nervous talking to Girls,0.0,99.0
Dreams of Witchtown,0.0,99.0
Dungeon Adventure,0.0,99.0
Dungeon Tales,0.0,99.0
Epic Dungeon,0.0,99.0
Epiphany in Spaaace!,0.0,99.0
Fable II,0.0,99.0
Fable II: Knothole Island,0.0,99.0
Final Fantasy XI: Scars of Abyssea,0.0,99.0
Final Saga: The Gaia Cross Chronicles,0.0,99.0
Guarding,0.0,99.0
Gyromancer,0.0,99.0
Landmark,0.0,99.0
Landmark,0.0,99.0
Legend of the Rune Lords: The Quest for Runic Magia,0.0,99.0
Light's End,0.0,99.0
Lost Odyssey: Dungeon Pack: Seeker of the Deep!,0.0,99.0
Mamotte Knight,0.0,99.0
MapleStory Cygnus Knights Edition,0.0,99.0
MapleStory Thief Edition,0.0,99.0
Mass Effect 2: Firewalker,0.0,99.0
Mass Effect 2: Firewalker,0.0,99.0
Mass Effect 2: Normandy Crash Site,0.0,99.0
Mass Effect 2: Normandy Crash Site,0.0,99.0
Mass Effect 2: The Price of Revenge,0.0,99.0
Mass Effect 2: The Price of Revenge,0.0,99.0
Mass Effect: Pinnacle Station,0.0,99.0
Masters of Belial,0.0,99.0
Masters of Belial,0.0,99.0
Mega Monster Mania,0.0,99.0
Molly the Were-Zompire,0.0,99.0
Murder On Snake Road,0.0,99.0
NieR: The World of Recycled Vessel,0.0,99.0
NieR: The World of Recycled Vessel,0.0,99.0
Of Steel and Sorcery,0.0,99.0
Pioneer,0.0,99.0
Shooting Models,0.0,99.0
Spell Master,0.0,99.0
Star Cross,0.0,99.0
Sword of Rapier,0.0,99.0
Swords & Monsters,0.0,99.0
Swords and Monsters,0.0,99.0
Too Human,0.0,99.0
Trinity Wars Prologue: Spine of the World,0.0,99.0
Walketh,0.0,99.0
West,0.0,99.0
When Maidens Attack,0.0,99.0
Wizard Apprentice,0.0,99.0
Wizard's Keep,0.0,99.0
ZenHak,0.0,99.0
Super Mario 64,9.7,98.0
Super Mario 3D World,9.5,98.0
Mega Man 2,9.5,98.0
Ninja Gaiden,9.4,98.0
Donkey Kong 64,9.3,98.0
Donkey Kong Country 2: Diddy's Kong Quest,9.3,98.0
Banjo-Kazooie,9.3,98.0
Banjo-Tooie,9.3,98.0
Castlevania: Symphony of the Night,9.3,98.0
Castlevania: Symphony of the Night,9.3,98.0
Super Mario Sunshine,9.2,98.0
Conker's Bad Fur Day,9.2,98.0
Donkey Kong Country,9.1,98.0
NiGHTS into dreams...,9.1,98.0
Rayman 2: The Great Escape,9.1,98.0
Rayman 2: The Great Escape,9.1,98.0
Super Mario Land 2: 6 Golden Coins,9.0,98.0
Donkey Kong Country,9.0,98.0
Rayman 2: The Great Escape,9.0,98.0
Castlevania III: Dracula's Curse,9.0,98.0
Castlevania: Rondo of Blood,9.0,98.0
Rayman,9.0,98.0
Sonic & Knuckles,9.0,98.0
Super Mario 64,9.0,98.0
Super Mario Land 2: 6 Golden Coins,9.0,98.0
Sonic Adventure,8.9,98.0
Sonic Adventure 2,8.9,98.0
Castlevania: Symphony of the Night,8.9,98.0
Super Mario Maker,8.8,98.0
Donkey Kong Country 3: Dixie Kong's Double Trouble!,8.8,98.0
Donkey Kong Country 2: Diddy's Kong Quest,8.8,98.0
Earthworm Jim 2,8.8,98.0
Rayman 2: The Great Escape,8.7,98.0
Rayman 2: Revolution,8.7,98.0
New Super Mario Bros. Wii,8.6,98.0
LostWinds: Winter of the Melodias,8.6,98.0
Prince of Persia,8.6,98.0
Prince of Persia Classic,8.6,98.0
Super Mario World,8.5,98.0
Super Paper Mario,8.5,98.0
Donkey Kong Country 3: Dixie Kong's Double Trouble!,8.5,98.0
Mega Man 5,8.5,98.0
Super Mario Bros. 2,8.5,98.0
Super Mario World,8.5,98.0
New Super Mario Bros. U,8.4,98.0
Kirby's Adventure,8.4,98.0
Shantae,8.4,98.0
Spider-Man,8.4,98.0
Prince of Persia,8.3,98.0
Rocket: Robot on Wheels,8.3,98.0
Sonic Generations,8.3,98.0
Akumajou Dracula X: Gekka no Yasoukyoku,8.3,98.0
Sonic Colors,8.2,98.0
Prince of Persia,8.2,98.0
Kirby and the Rainbow Curse,8.2,98.0
